Balancing Technique,Model Name,Accuracy,Precision,Recall,AUC_ROCcurve
None,LogisticRegression(),0.9056909252813082,0.6431718061674009,0.40982456140350876,0.690087976162955
None,SVC(),0.8954100218570388,0.6436285097192225,0.20912280701754385,0.5970119891603093
None,DecisionTreeClassifier(),0.8835100785234355,0.4951856946354883,0.5052631578947369,0.7190481236032982
None,RandomForestClassifier(),0.9106289970047762,0.640174672489083,0.5143859649122807,0.7383423235981609
None,BernoulliNB(),0.8744434550311665,0.44314079422382674,0.34456140350877196,0.6440504674937709
with feature selection,LogisticRegression(),0.9056909252813082,0.6431718061674009,0.40982456140350876,0.690087976162955
with feature selection,SVC(),0.8954100218570388,0.6436285097192225,0.20912280701754385,0.5970119891603093
with feature selection,DecisionTreeClassifier(),0.8840767424917024,0.49762066621346024,0.5136842105263157,0.7230298797873159
with feature selection,RandomForestClassifier(),0.909900429045576,0.6387900355871886,0.503859649122807,0.7333536898615499
with feature selection,BernoulliNB(),0.8744434550311665,0.44314079422382674,0.34456140350877196,0.6440504674937709
SMOTE(train_data),LogisticRegression(),0.9056909252813082,0.6431718061674009,0.40982456140350876,0.690087976162955
SMOTE(train_data),SVC(),0.8954100218570388,0.6436285097192225,0.20912280701754385,0.5970119891603093
SMOTE(train_data),DecisionTreeClassifier(),0.8844005504735691,0.49896907216494846,0.5094736842105263,0.7213821568929645
SMOTE(train_data),RandomForestClassifier(),0.9106289970047762,0.6426666666666667,0.5073684210526316,0.7352910919318795
SMOTE(train_data),BernoulliNB(),0.8744434550311665,0.44314079422382674,0.34456140350877196,0.6440504674937709
SMOTE(whole_data),LogisticRegression(),0.8764829348421245,0.8607594936708861,0.8971140632157582,0.8765635764674373
SMOTE(whole_data),SVC(),0.5971892681146195,0.9285420944558521,0.20714612918002748,0.5956646926238288
SMOTE(whole_data),DecisionTreeClassifier(),0.9094269027194744,0.9016010073754273,0.9183692166743014,0.9094618558601031
SMOTE(whole_data),RandomForestClassifier(),0.9410476364300054,0.9202550441086558,0.965277141548328,0.9411423431584928
SMOTE(whole_data),BernoulliNB(),0.7786092352619091,0.7421906207557721,0.8511223087494274,0.7788926696915033
ADASYN(train_data),LogisticRegression(),0.8528292722415608,0.42888165038002174,0.8315789473684211,0.8435896200970948
ADASYN(train_data),SVC(),0.8953290698615721,0.6422413793103449,0.20912280701754385,0.596966235133955
ADASYN(train_data),DecisionTreeClassifier(),0.872500607139966,0.4607329842931937,0.6175438596491228,0.7616452826796127
ADASYN(train_data),RandomForestClassifier(),0.8977576297255727,0.5430393198724761,0.7171929824561404,0.8192480285633557
ADASYN(train_data),BernoulliNB(),0.7380393426697968,0.27811810830678757,0.7964912280701755,0.7634542523952634
ADASYN(whole_data),LogisticRegression(),0.8764829348421245,0.8607594936708861,0.8971140632157582,0.8765635764674373
ADASYN(whole_data),SVC(),0.5971892681146195,0.9285420944558521,0.20714612918002748,0.5956646926238288
ADASYN(whole_data),DecisionTreeClassifier(),0.9074648658514327,0.9007124177112453,0.9150710032065964,0.9074945962310594
ADASYN(whole_data),RandomForestClassifier(),0.9395875159700675,0.918418986126865,0.9643609711406321,0.9396843488554719
ADASYN(whole_data),BernoulliNB(),0.7786092352619091,0.7421906207557721,0.8511223087494274,0.7788926696915033
UnderSampling(train_data),LogisticRegression(),0.8523435602687606,0.43041506801534707,0.8659649122807017,0.8582661311037476
UnderSampling(train_data),SVC(),0.8954100218570388,0.6436285097192225,0.20912280701754385,0.5970119891603093
UnderSampling(train_data),DecisionTreeClassifier(),0.8344531692706225,0.39419795221843,0.8105263157894737,0.8240497611158203
UnderSampling(train_data),RandomForestClassifier(),0.8524245122642273,0.43397478433974784,0.9178947368421052,0.880890999460584
UnderSampling(train_data),BernoulliNB(),0.761353517364203,0.29335142469470826,0.7585964912280702,0.7601547609873879
UnderSampling(whole_data),LogisticRegression(),0.865301724137931,0.8574498567335244,0.8718135469774217,0.865389409916776
UnderSampling(whole_data),SVC(),0.6063218390804598,0.9424920127795527,0.21485797523670794,0.6010505326218976
UnderSampling(whole_data),DecisionTreeClassifier(),0.8286637931034483,0.8223021582733813,0.8324836125273124,0.8287152293678376
UnderSampling(whole_data),RandomForestClassifier(),0.8872126436781609,0.8458523840627041,0.9431900946831755,0.8879664151658259
UnderSampling(whole_data),BernoulliNB(),0.7449712643678161,0.7457375833951075,0.7327021121631464,0.7448060525379872
Class weightining(Algorithmic Method),"LogisticRegression(class_weight='balanced', random_state=42)",0.8511292803367603,0.4284232365145228,0.8694736842105263,0.8591054365415735
Class weightining(Algorithmic Method),"SVC(class_weight='balanced', random_state=42)",0.8954100218570388,0.6436285097192225,0.20912280701754385,0.5970119891603093
Class weightining(Algorithmic Method),"DecisionTreeClassifier(class_weight='balanced', random_state=42)",0.8880433902695701,0.5160796324655437,0.4729824561403509,0.7075746834142457
Class weightining(Algorithmic Method),"RandomForestClassifier(class_weight='balanced', random_state=42)",0.9082004371407755,0.641399416909621,0.4631578947368421,0.7146957116436774
Class weightining(Algorithmic Method),BernoulliNB(),0.7382821986561969,0.2747882411559542,0.7740350877192983,0.7538275731422261
GAN(whole_data),LogisticRegression(),0.9089068825910931,0.6423611111111112,0.4048140043763676,0.6883346823047701
GAN(whole_data),SVC(),0.8989473684210526,0.6375838926174496,0.20787746170678337,0.596561009749466
GAN(whole_data),DecisionTreeClassifier(),0.8909311740890689,0.5082530949105915,0.5390226112326769,0.7369491414848147
GAN(whole_data),RandomForestClassifier(),0.914331983805668,0.6455813953488372,0.5061998541210795,0.7357486200198258
GAN(whole_data),BernoulliNB(),0.8782995951417004,0.44190140845070425,0.3661560904449307,0.6542047416429044
GAN(train_data),LogisticRegression(),0.8846434064599692,0.0,0.0,0.5
GAN(train_data),SVC(),0.8851291184327693,0.59375,0.013333333333333334,0.5060718643240605
GAN(train_data),DecisionTreeClassifier(),0.8846434064599692,0.0,0.0,0.5
GAN(train_data),RandomForestClassifier(),0.8846434064599692,0.0,0.0,0.5
GAN(train_data),GaussianNB(),0.8846434064599692,0.0,0.0,0.5
