Balancing Technique,Model Name,Accuracy,Precision,Recall,AUC_ROCcurve
None,LogisticRegression(),0.9992392589211521,0.865979381443299,0.6176470588235294,0.8087473340233441
None,SVC(),0.9993562960102056,0.9354838709677419,0.6397058823529411,0.8198177740741226
None,DecisionTreeClassifier(),0.9990988144142879,0.6855345911949685,0.8014705882352942,0.9004422349314138
None,RandomForestClassifier(),0.9996137776061234,0.9478260869565217,0.8014705882352942,0.9007001270152991
None,GaussianNB(),0.9780906569291808,0.05849440488301119,0.8455882352941176,0.9119450665727039
SMOTE(train_data),LogisticRegression(),0.9992392589211521,0.865979381443299,0.6176470588235294,0.8087473340233441
SMOTE(train_data),SVC(),0.9993562960102056,0.9354838709677419,0.6397058823529411,0.8198177740741226
SMOTE(train_data),DecisionTreeClassifier(),0.99916903666772,0.7272727272727273,0.7647058823529411,0.8821243550112086
SMOTE(train_data),RandomForestClassifier(),0.9995903701883126,0.9243697478991597,0.8088235294117647,0.9043590140523603
SMOTE(train_data),GaussianNB(),0.9780906569291808,0.05849440488301119,0.8455882352941176,0.9119450665727039
SMOTE(whole_data),LogisticRegression(),0.9443273695587854,0.9740887357976453,0.9131964526701368,0.9443976429341558
SMOTE(whole_data),SVC(),0.9803636231892809,0.984529567605668,0.9761543281280124,0.9803731250415054
SMOTE(whole_data),DecisionTreeClassifier(),0.9977598106405976,0.9969923364733341,0.9985420281472913,0.9977580449019054
SMOTE(whole_data),RandomForestClassifier(),0.9999275410449789,0.9998554286540408,1.0,0.9999273774797565
SMOTE(whole_data),GaussianNB(),0.9133028603172495,0.9726468886868854,0.8509253903990746,0.9134436680992335
ADASYN(train_data),LogisticRegression(),0.9041232166473555,0.015632515632515633,0.9558823529411765,0.9299615265004804
ADASYN(train_data),SVC(),0.9827721404913217,0.06903225806451613,0.7867647058823529,0.8849246648264847
ADASYN(train_data),DecisionTreeClassifier(),0.9978348138525098,0.40823970037453183,0.8014705882352942,0.89980922708915
ADASYN(train_data),RandomForestClassifier(),0.9995084442259752,0.8455882352941176,0.8455882352941176,0.9226710327888409
ADASYN(train_data),GaussianNB(),0.9605233898622474,0.03504740017236426,0.8970588235294118,0.928841695633556
UnderSampling(train_data),LogisticRegression(),0.960780871458165,0.036609974055923894,0.9338235294117647,0.9473236886980518
UnderSampling(train_data),SVC(),0.9873716980911251,0.10344827586206896,0.9044117647058824,0.9459578605024482
UnderSampling(train_data),DecisionTreeClassifier(),0.89945343679412,0.01491681009753299,0.9558823529411765,0.927622914194339
UnderSampling(train_data),RandomForestClassifier(),0.971115246421591,0.04911059551430781,0.9338235294117647,0.9524991139269311
UnderSampling(train_data),GaussianNB(),0.9724260618189904,0.04878048780487805,0.8823529411764706,0.9274613006725191
UnderSampling(whole_data),LogisticRegression(),0.9413793103448276,0.9701492537313433,0.9090909090909091,0.9409400123685838
UnderSampling(whole_data),SVC(),0.9310344827586207,0.984251968503937,0.8741258741258742,0.9302602159745017
UnderSampling(whole_data),DecisionTreeClassifier(),0.9172413793103448,0.9343065693430657,0.8951048951048951,0.9169402026544884
UnderSampling(whole_data),RandomForestClassifier(),0.9344827586206896,0.9696969696969697,0.8951048951048951,0.9339470053755767
UnderSampling(whole_data),GaussianNB(),0.9172413793103448,0.976,0.8531468531468531,0.9163693449407735
Class weightining(Algorithmic Method),"LogisticRegression(class_weight='balanced', random_state=42)",0.9742167292815093,0.054333764553686936,0.9264705882352942,0.9503817182094566
Class weightining(Algorithmic Method),"SVC(class_weight='balanced', random_state=42)",0.9969687393935138,0.3153153153153153,0.7720588235294118,0.8846930618754822
Class weightining(Algorithmic Method),"DecisionTreeClassifier(class_weight='balanced', random_state=42)",0.9991573329588147,0.7285714285714285,0.75,0.8747772750184628
Class weightining(Algorithmic Method),"RandomForestClassifier(class_weight='balanced', random_state=42)",0.9996137776061234,0.9724770642201835,0.7794117647058824,0.8896882988017671
Class weightining(Algorithmic Method),GaussianNB(),0.9780906569291808,0.05849440488301119,0.8455882352941176,0.9119450665727039
GAN(whole_data),LogisticRegression(),0.5938975814530363,0.5982878630290424,0.6136406264653474,0.5935496821647125
GAN(whole_data),SVC(),0.9998091876162764,0.9999296468270719,0.9996952077276564,0.999811196096838
GAN(whole_data),DecisionTreeClassifier(),0.996004865715785,0.9964919279143983,0.9956508487292507,0.9960111039762759
GAN(whole_data),RandomForestClassifier(),0.9998091876162764,0.9997655663915979,0.9998593266435337,0.9998083040984659
GAN(whole_data),GaussianNB(),0.7381040404522253,0.664006087363173,0.982052424270843,0.7338053383490137
GAN(train_data),LogisticRegression(),0.5204171201853868,0.0026789410876500814,0.8088235294117647,0.6643904299971246
GAN(train_data),SVC(),0.99833807333544,0.0,0.0,0.49996483289765203
GAN(train_data),DecisionTreeClassifier(),0.9935395526842457,0.009433962264150943,0.029411764705882353,0.5122441851885818
GAN(train_data),RandomForestClassifier(),0.9981976288285758,0.0,0.0,0.49989449869295605
GAN(train_data),GaussianNB(),0.4929602190934307,6.945569884008983e-05,0.022058823529411766,0.2578848866964231
